,no,loc,start,end,rainseason,rainday,total,year_time,end_time,year,month
231,201,강화,2019-06-26,2019-07-29,34,15,251.4,2019-06-26,2019-07-29,2019,6
232,202,양평,2019-06-26,2019-07-29,34,17,204.1,2019-06-26,2019-07-29,2019,6
233,203,이천,2019-06-26,2019-07-29,34,20,223.4,2019-06-26,2019-07-29,2019,6
234,211,인제,2019-06-26,2019-07-29,34,15,132.0,2019-06-26,2019-07-29,2019,6
235,212,홍천,2019-06-26,2019-07-29,34,16,176.1,2019-06-26,2019-07-29,2019,6
236,216,태백,2019-06-26,2019-07-29,34,16,239.0,2019-06-26,2019-07-29,2019,6
237,221,제천,2019-06-26,2019-07-29,34,22,167.0,2019-06-26,2019-07-29,2019,6
238,226,보은,2019-06-26,2019-07-29,34,17,246.1,2019-06-26,2019-07-29,2019,6
239,232,천안,2019-06-26,2019-07-29,34,13,239.2,2019-06-26,2019-07-29,2019,6
240,235,보령,2019-06-26,2019-07-29,34,13,171.7,2019-06-26,2019-07-29,2019,6
241,236,부여,2019-06-26,2019-07-29,34,16,235.8,2019-06-26,2019-07-29,2019,6
242,238,금산,2019-06-26,2019-07-29,34,17,192.6,2019-06-26,2019-07-29,2019,6
243,243,부안,2019-06-26,2019-07-28,33,19,287.5,2019-06-26,2019-07-28,2019,6
244,244,임실,2019-06-26,2019-07-28,33,19,310.7,2019-06-26,2019-07-28,2019,6
245,245,정읍,2019-06-26,2019-07-28,33,21,309.3,2019-06-26,2019-07-28,2019,6
246,247,남원,2019-06-26,2019-07-28,33,21,429.8,2019-06-26,2019-07-28,2019,6
247,248,장수,2019-06-26,2019-07-28,33,22,390.2,2019-06-26,2019-07-28,2019,6
248,260,장흥,2019-06-26,2019-07-28,33,17,423.7,2019-06-26,2019-07-28,2019,6
249,261,해남,2019-06-26,2019-07-28,33,12,196.4,2019-06-26,2019-07-28,2019,6
250,262,고흥,2019-06-26,2019-07-28,33,12,559.3,2019-06-26,2019-07-28,2019,6
251,271,봉화,2019-06-26,2019-07-28,33,19,291.2,2019-06-26,2019-07-28,2019,6
252,272,영주,2019-06-26,2019-07-28,33,18,247.4,2019-06-26,2019-07-28,2019,6
253,273,문경,2019-06-26,2019-07-28,33,18,261.3,2019-06-26,2019-07-28,2019,6
254,277,영덕,2019-06-26,2019-07-28,33,16,249.5,2019-06-26,2019-07-28,2019,6
255,278,의성,2019-06-26,2019-07-28,33,16,170.9,2019-06-26,2019-07-28,2019,6
256,279,구미,2019-06-26,2019-07-28,33,15,250.9,2019-06-26,2019-07-28,2019,6
257,281,영천,2019-06-26,2019-07-28,33,14,295.2,2019-06-26,2019-07-28,2019,6
258,284,거창,2019-06-26,2019-07-28,33,17,316.6,2019-06-26,2019-07-28,2019,6
259,285,합천,2019-06-26,2019-07-28,33,17,394.4,2019-06-26,2019-07-28,2019,6
260,288,밀양,2019-06-26,2019-07-28,33,12,380.9,2019-06-26,2019-07-28,2019,6
261,289,산청,2019-06-26,2019-07-28,33,20,539.3,2019-06-26,2019-07-28,2019,6
262,294,거제,2019-06-26,2019-07-28,33,18,790.7,2019-06-26,2019-07-28,2019,6
263,295,남해,2019-06-26,2019-07-28,33,17,784.9,2019-06-26,2019-07-28,2019,6
264,184,제주,2020-06-10,2020-07-28,49,28,405.3,2020-06-10,2020-07-28,2020,6
265,185,고산,2020-06-10,2020-07-28,49,28,538.2,2020-06-10,2020-07-28,2020,6
266,188,성산,2020-06-10,2020-07-28,49,31,704.1,2020-06-10,2020-07-28,2020,6
267,189,서귀포,2020-06-10,2020-07-28,49,31,719.4,2020-06-10,2020-07-28,2020,6
268,90,속초,2020-06-24,2020-08-16,54,29,968.5,2020-06-24,2020-08-16,2020,6
269,95,철원,2020-06-24,2020-08-16,54,32,1085.4,2020-06-24,2020-08-16,2020,6
270,100,대관령,2020-06-24,2020-08-16,54,35,771.1,2020-06-24,2020-08-16,2020,6
271,101,춘천,2020-06-24,2020-08-16,54,33,944.1,2020-06-24,2020-08-16,2020,6
272,105,강릉,2020-06-24,2020-08-16,54,33,751.6,2020-06-24,2020-08-16,2020,6
273,108,서울,2020-06-24,2020-08-16,54,33,951.6,2020-06-24,2020-08-16,2020,6
274,112,인천,2020-06-24,2020-08-16,54,35,792.9,2020-06-24,2020-08-16,2020,6
275,114,원주,2020-06-24,2020-08-16,54,38,707.1,2020-06-24,2020-08-16,2020,6
276,119,수원,2020-06-24,2020-08-16,54,36,1057.9,2020-06-24,2020-08-16,2020,6
277,127,충주,2020-06-24,2020-08-16,54,38,814.3,2020-06-24,2020-08-16,2020,6
278,129,서산,2020-06-24,2020-08-16,54,32,777.4,2020-06-24,2020-08-16,2020,6
279,130,울진,2020-06-24,2020-07-31,38,23,580.5,2020-06-24,2020-07-31,2020,6
280,131,청주,2020-06-24,2020-08-16,54,34,739.8,2020-06-24,2020-08-16,2020,6
281,133,대전,2020-06-24,2020-08-16,54,39,918.2,2020-06-24,2020-08-16,2020,6
282,135,추풍령,2020-06-24,2020-08-16,54,36,795.5,2020-06-24,2020-08-16,2020,6
283,136,안동,2020-06-24,2020-07-31,38,23,464.0,2020-06-24,2020-07-31,2020,6
284,138,포항,2020-06-24,2020-07-31,38,23,406.0,2020-06-24,2020-07-31,2020,6
285,140,군산,2020-06-24,2020-07-31,38,24,521.0,2020-06-24,2020-07-31,2020,6
286,143,대구,2020-06-24,2020-07-31,38,22,381.6,2020-06-24,2020-07-31,2020,6
287,146,전주,2020-06-24,2020-07-31,38,30,682.0,2020-06-24,2020-07-31,2020,6
288,152,울산,2020-06-24,2020-07-31,38,22,630.1,2020-06-24,2020-07-31,2020,6
289,155,창원,2020-06-24,2020-07-31,38,25,689.3,2020-06-24,2020-07-31,2020,6
290,156,광주,2020-06-24,2020-07-31,38,20,588.3,2020-06-24,2020-07-31,2020,6
291,159,부산,2020-06-24,2020-07-31,38,23,956.7,2020-06-24,2020-07-31,2020,6
292,162,통영,2020-06-24,2020-07-31,38,23,781.6,2020-06-24,2020-07-31,2020,6
293,165,목포,2020-06-24,2020-07-31,38,21,443.1,2020-06-24,2020-07-31,2020,6
294,168,여수,2020-06-24,2020-07-31,38,25,714.2,2020-06-24,2020-07-31,2020,6
295,170,완도,2020-06-24,2020-07-31,38,25,417.3,2020-06-24,2020-07-31,2020,6
296,192,진주,2020-06-24,2020-07-31,38,22,712.0,2020-06-24,2020-07-31,2020,6
297,201,강화,2020-06-24,2020-08-16,54,33,833.5,2020-06-24,2020-08-16,2020,6
298,202,양평,2020-06-24,2020-08-16,54,35,821.7,2020-06-24,2020-08-16,2020,6
299,203,이천,2020-06-24,2020-08-16,54,37,1012.8,2020-06-24,2020-08-16,2020,6
300,211,인제,2020-06-24,2020-08-16,54,36,742.5,2020-06-24,2020-08-16,2020,6
301,212,홍천,2020-06-24,2020-08-16,54,35,937.8,2020-06-24,2020-08-16,2020,6
302,216,태백,2020-06-24,2020-08-16,54,33,653.5,2020-06-24,2020-08-16,2020,6
303,221,제천,2020-06-24,2020-08-16,54,37,961.4,2020-06-24,2020-08-16,2020,6
304,226,보은,2020-06-24,2020-08-16,54,38,907.3,2020-06-24,2020-08-16,2020,6
305,232,천안,2020-06-24,2020-08-16,54,33,808.6,2020-06-24,2020-08-16,2020,6
306,235,보령,2020-06-24,2020-08-16,54,34,673.9,2020-06-24,2020-08-16,2020,6
307,236,부여,2020-06-24,2020-08-16,54,35,860.1,2020-06-24,2020-08-16,2020,6
308,238,금산,2020-06-24,2020-08-16,54,39,970.4,2020-06-24,2020-08-16,2020,6
309,243,부안,2020-06-24,2020-07-31,38,28,568.9,2020-06-24,2020-07-31,2020,6
310,244,임실,2020-06-24,2020-07-31,38,28,565.2,2020-06-24,2020-07-31,2020,6
311,245,정읍,2020-06-24,2020-07-31,38,28,495.7,2020-06-24,2020-07-31,2020,6
312,247,남원,2020-06-24,2020-07-31,38,26,615.2,2020-06-24,2020-07-31,2020,6
313,248,장수,2020-06-24,2020-07-31,38,27,637.0,2020-06-24,2020-07-31,2020,6
314,260,장흥,2020-06-24,2020-07-31,38,22,449.8,2020-06-24,2020-07-31,2020,6
315,261,해남,2020-06-24,2020-07-31,38,21,402.2,2020-06-24,2020-07-31,2020,6
316,262,고흥,2020-06-24,2020-07-31,38,21,430.3,2020-06-24,2020-07-31,2020,6
317,271,봉화,2020-06-24,2020-07-31,38,24,349.8,2020-06-24,2020-07-31,2020,6
318,272,영주,2020-06-24,2020-07-31,38,23,552.2,2020-06-24,2020-07-31,2020,6
319,273,문경,2020-06-24,2020-07-31,38,26,724.4,2020-06-24,2020-07-31,2020,6
320,277,영덕,2020-06-24,2020-07-31,38,24,627.9,2020-06-24,2020-07-31,2020,6
321,278,의성,2020-06-24,2020-07-31,38,24,424.5,2020-06-24,2020-07-31,2020,6
322,279,구미,2020-06-24,2020-07-31,38,23,490.2,2020-06-24,2020-07-31,2020,6
323,281,영천,2020-06-24,2020-07-31,38,23,391.0,2020-06-24,2020-07-31,2020,6
324,284,거창,2020-06-24,2020-07-31,38,25,648.7,2020-06-24,2020-07-31,2020,6
325,285,합천,2020-06-24,2020-07-31,38,25,643.0,2020-06-24,2020-07-31,2020,6
326,288,밀양,2020-06-24,2020-07-31,38,24,498.2,2020-06-24,2020-07-31,2020,6
327,289,산청,2020-06-24,2020-07-31,38,22,739.0,2020-06-24,2020-07-31,2020,6
328,294,거제,2020-06-24,2020-07-31,38,24,862.0,2020-06-24,2020-07-31,2020,6
329,295,남해,2020-06-24,2020-07-31,38,23,843.6,2020-06-24,2020-07-31,2020,6
330,90,속초,2021-07-03,2021-07-19,17,6,102.7,2021-07-03,2021-07-19,2021,7
331,95,철원,2021-07-03,2021-07-19,17,7,115.8,2021-07-03,2021-07-19,2021,7
332,100,대관령,2021-07-03,2021-07-19,17,7,110.1,2021-07-03,2021-07-19,2021,7
333,101,춘천,2021-07-03,2021-07-19,17,9,156.4,2021-07-03,2021-07-19,2021,7
334,105,강릉,2021-07-03,2021-07-19,17,6,142.2,2021-07-03,2021-07-19,2021,7
335,108,서울,2021-07-03,2021-07-19,17,7,165.3,2021-07-03,2021-07-19,2021,7
336,112,인천,2021-07-03,2021-07-19,17,8,84.2,2021-07-03,2021-07-19,2021,7
337,114,원주,2021-07-03,2021-07-19,17,11,195.6,2021-07-03,2021-07-19,2021,7
338,119,수원,2021-07-03,2021-07-19,17,9,123.7,2021-07-03,2021-07-19,2021,7
339,127,충주,2021-07-03,2021-07-19,17,12,304.5,2021-07-03,2021-07-19,2021,7
340,129,서산,2021-07-03,2021-07-19,17,12,119.1,2021-07-03,2021-07-19,2021,7
341,130,울진,2021-07-03,2021-07-19,17,9,120.2,2021-07-03,2021-07-19,2021,7
342,131,청주,2021-07-03,2021-07-19,17,10,127.2,2021-07-03,2021-07-19,2021,7
343,133,대전,2021-07-03,2021-07-19,17,11,150.4,2021-07-03,2021-07-19,2021,7
344,135,추풍령,2021-07-03,2021-07-19,17,11,214.4,2021-07-03,2021-07-19,2021,7
345,136,안동,2021-07-03,2021-07-19,17,12,127.5,2021-07-03,2021-07-19,2021,7
346,138,포항,2021-07-03,2021-07-19,17,10,203.7,2021-07-03,2021-07-19,2021,7
347,140,군산,2021-07-03,2021-07-19,17,12,249.9,2021-07-03,2021-07-19,2021,7
348,143,대구,2021-07-03,2021-07-19,17,13,147.9,2021-07-03,2021-07-19,2021,7
349,146,전주,2021-07-03,2021-07-19,17,11,220.4,2021-07-03,2021-07-19,2021,7
350,152,울산,2021-07-03,2021-07-19,17,10,189.3,2021-07-03,2021-07-19,2021,7
351,155,창원,2021-07-03,2021-07-19,17,10,516.4,2021-07-03,2021-07-19,2021,7
352,156,광주,2021-07-03,2021-07-19,17,9,201.8,2021-07-03,2021-07-19,2021,7
353,159,부산,2021-07-03,2021-07-19,17,10,395.7,2021-07-03,2021-07-19,2021,7
354,162,통영,2021-07-03,2021-07-19,17,9,375.5,2021-07-03,2021-07-19,2021,7
355,165,목포,2021-07-03,2021-07-19,17,10,309.5,2021-07-03,2021-07-19,2021,7
356,168,여수,2021-07-03,2021-07-19,17,9,434.1,2021-07-03,2021-07-19,2021,7
357,170,완도,2021-07-03,2021-07-19,17,10,420.8,2021-07-03,2021-07-19,2021,7
358,184,제주,2021-07-03,2021-07-19,17,8,89.8,2021-07-03,2021-07-19,2021,7
359,185,고산,2021-07-03,2021-07-19,17,9,110.2,2021-07-03,2021-07-19,2021,7
360,188,성산,2021-07-03,2021-07-19,17,9,204.4,2021-07-03,2021-07-19,2021,7
361,189,서귀포,2021-07-03,2021-07-19,17,10,196.0,2021-07-03,2021-07-19,2021,7
362,192,진주,2021-07-03,2021-07-19,17,10,357.8,2021-07-03,2021-07-19,2021,7
363,201,강화,2021-07-03,2021-07-19,17,6,83.9,2021-07-03,2021-07-19,2021,7
364,202,양평,2021-07-03,2021-07-19,17,9,114.6,2021-07-03,2021-07-19,2021,7
365,203,이천,2021-07-03,2021-07-19,17,12,131.5,2021-07-03,2021-07-19,2021,7
366,211,인제,2021-07-03,2021-07-19,17,6,118.6,2021-07-03,2021-07-19,2021,7
367,212,홍천,2021-07-03,2021-07-19,17,7,104.0,2021-07-03,2021-07-19,2021,7
368,216,태백,2021-07-03,2021-07-19,17,10,145.9,2021-07-03,2021-07-19,2021,7
369,221,제천,2021-07-03,2021-07-19,17,11,221.2,2021-07-03,2021-07-19,2021,7
370,226,보은,2021-07-03,2021-07-19,17,11,160.8,2021-07-03,2021-07-19,2021,7
371,232,천안,2021-07-03,2021-07-19,17,11,117.6,2021-07-03,2021-07-19,2021,7
372,235,보령,2021-07-03,2021-07-19,17,12,131.3,2021-07-03,2021-07-19,2021,7
373,236,부여,2021-07-03,2021-07-19,17,10,185.9,2021-07-03,2021-07-19,2021,7
374,238,금산,2021-07-03,2021-07-19,17,12,296.1,2021-07-03,2021-07-19,2021,7
375,243,부안,2021-07-03,2021-07-19,17,11,219.8,2021-07-03,2021-07-19,2021,7
376,244,임실,2021-07-03,2021-07-19,17,10,221.4,2021-07-03,2021-07-19,2021,7
377,245,정읍,2021-07-03,2021-07-19,17,10,206.5,2021-07-03,2021-07-19,2021,7
378,247,남원,2021-07-03,2021-07-19,17,9,203.2,2021-07-03,2021-07-19,2021,7
379,248,장수,2021-07-03,2021-07-19,17,10,202.5,2021-07-03,2021-07-19,2021,7
380,260,장흥,2021-07-03,2021-07-19,17,9,437.2,2021-07-03,2021-07-19,2021,7
381,261,해남,2021-07-03,2021-07-19,17,10,495.9,2021-07-03,2021-07-19,2021,7
382,262,고흥,2021-07-03,2021-07-19,17,7,450.1,2021-07-03,2021-07-19,2021,7
383,271,봉화,2021-07-03,2021-07-19,17,12,176.9,2021-07-03,2021-07-19,2021,7
384,272,영주,2021-07-03,2021-07-19,17,10,271.9,2021-07-03,2021-07-19,2021,7
385,273,문경,2021-07-03,2021-07-19,17,11,329.7,2021-07-03,2021-07-19,2021,7
386,277,영덕,2021-07-03,2021-07-19,17,10,139.2,2021-07-03,2021-07-19,2021,7
387,278,의성,2021-07-03,2021-07-19,17,11,134.5,2021-07-03,2021-07-19,2021,7
388,279,구미,2021-07-03,2021-07-19,17,12,259.7,2021-07-03,2021-07-19,2021,7
389,281,영천,2021-07-03,2021-07-19,17,12,264.5,2021-07-03,2021-07-19,2021,7
390,284,거창,2021-07-03,2021-07-19,17,11,211.3,2021-07-03,2021-07-19,2021,7
391,285,합천,2021-07-03,2021-07-19,17,11,226.4,2021-07-03,2021-07-19,2021,7
392,288,밀양,2021-07-03,2021-07-19,17,12,308.0,2021-07-03,2021-07-19,2021,7
393,289,산청,2021-07-03,2021-07-19,17,10,205.1,2021-07-03,2021-07-19,2021,7
394,294,거제,2021-07-03,2021-07-19,17,10,447.6,2021-07-03,2021-07-19,2021,7
395,295,남해,2021-07-03,2021-07-19,17,8,503.0,2021-07-03,2021-07-19,2021,7
396,184,제주,2022-06-21,2022-07-24,34,10,124.9,2022-06-21,2022-07-24,2022,6
397,185,고산,2022-06-21,2022-07-24,34,14,229.7,2022-06-21,2022-07-24,2022,6
398,188,성산,2022-06-21,2022-07-24,34,15,192.2,2022-06-21,2022-07-24,2022,6
399,189,서귀포,2022-06-21,2022-07-24,34,20,283.5,2022-06-21,2022-07-24,2022,6
400,90,속초,2022-06-23,2022-07-25,33,20,337.5,2022-06-23,2022-07-25,2022,6
401,95,철원,2022-06-23,2022-07-25,33,23,558.7,2022-06-23,2022-07-25,2022,6
402,100,대관령,2022-06-23,2022-07-25,33,17,343.6,2022-06-23,2022-07-25,2022,6
403,101,춘천,2022-06-23,2022-07-25,33,21,525.0,2022-06-23,2022-07-25,2022,6
404,105,강릉,2022-06-23,2022-07-25,33,19,305.6,2022-06-23,2022-07-25,2022,6
405,108,서울,2022-06-23,2022-07-25,33,18,552.6,2022-06-23,2022-07-25,2022,6
406,112,인천,2022-06-23,2022-07-25,33,13,451.1,2022-06-23,2022-07-25,2022,6
407,114,원주,2022-06-23,2022-07-25,33,20,437.6,2022-06-23,2022-07-25,2022,6
408,119,수원,2022-06-23,2022-07-25,33,16,622.9,2022-06-23,2022-07-25,2022,6
409,127,충주,2022-06-23,2022-07-25,33,22,528.0,2022-06-23,2022-07-25,2022,6
410,129,서산,2022-06-23,2022-07-25,33,19,486.6,2022-06-23,2022-07-25,2022,6
411,130,울진,2022-06-23,2022-07-25,33,13,90.4,2022-06-23,2022-07-25,2022,6
412,131,청주,2022-06-23,2022-07-25,33,21,267.9,2022-06-23,2022-07-25,2022,6
413,133,대전,2022-06-23,2022-07-25,33,18,235.0,2022-06-23,2022-07-25,2022,6
414,135,추풍령,2022-06-23,2022-07-25,33,14,222.1,2022-06-23,2022-07-25,2022,6
415,136,안동,2022-06-23,2022-07-25,33,16,176.2,2022-06-23,2022-07-25,2022,6
416,138,포항,2022-06-23,2022-07-25,33,10,122.2,2022-06-23,2022-07-25,2022,6
417,140,군산,2022-06-23,2022-07-25,33,16,203.3,2022-06-23,2022-07-25,2022,6
418,143,대구,2022-06-23,2022-07-25,33,13,124.8,2022-06-23,2022-07-25,2022,6
419,146,전주,2022-06-23,2022-07-25,33,20,262.6,2022-06-23,2022-07-25,2022,6
420,152,울산,2022-06-23,2022-07-25,33,13,173.2,2022-06-23,2022-07-25,2022,6
421,155,창원,2022-06-23,2022-07-25,33,15,270.6,2022-06-23,2022-07-25,2022,6
422,156,광주,2022-06-23,2022-07-25,33,17,209.6,2022-06-23,2022-07-25,2022,6
423,159,부산,2022-06-23,2022-07-25,33,13,230.6,2022-06-23,2022-07-25,2022,6
424,162,통영,2022-06-23,2022-07-25,33,14,173.6,2022-06-23,2022-07-25,2022,6
425,165,목포,2022-06-23,2022-07-25,33,16,242.9,2022-06-23,2022-07-25,2022,6
426,168,여수,2022-06-23,2022-07-25,33,16,267.6,2022-06-23,2022-07-25,2022,6
427,170,완도,2022-06-23,2022-07-25,33,12,94.1,2022-06-23,2022-07-25,2022,6
428,192,진주,2022-06-23,2022-07-25,33,16,222.4,2022-06-23,2022-07-25,2022,6
429,201,강화,2022-06-23,2022-07-25,33,17,606.1,2022-06-23,2022-07-25,2022,6
430,202,양평,2022-06-23,2022-07-25,33,21,595.8,2022-06-23,2022-07-25,2022,6
431,203,이천,2022-06-23,2022-07-25,33,19,455.5,2022-06-23,2022-07-25,2022,6
432,211,인제,2022-06-23,2022-07-25,33,21,419.4,2022-06-23,2022-07-25,2022,6
433,212,홍천,2022-06-23,2022-07-25,33,23,461.2,2022-06-23,2022-07-25,2022,6
434,216,태백,2022-06-23,2022-07-25,33,20,296.9,2022-06-23,2022-07-25,2022,6
435,221,제천,2022-06-23,2022-07-25,33,19,507.2,2022-06-23,2022-07-25,2022,6
436,226,보은,2022-06-23,2022-07-25,33,16,194.2,2022-06-23,2022-07-25,2022,6
437,232,천안,2022-06-23,2022-07-25,33,20,252.9,2022-06-23,2022-07-25,2022,6
438,235,보령,2022-06-23,2022-07-25,33,17,250.0,2022-06-23,2022-07-25,2022,6
439,236,부여,2022-06-23,2022-07-25,33,15,220.9,2022-06-23,2022-07-25,2022,6
440,238,금산,2022-06-23,2022-07-25,33,18,228.9,2022-06-23,2022-07-25,2022,6
441,243,부안,2022-06-23,2022-07-25,33,19,190.1,2022-06-23,2022-07-25,2022,6
442,244,임실,2022-06-23,2022-07-25,33,19,225.4,2022-06-23,2022-07-25,2022,6
443,245,정읍,2022-06-23,2022-07-25,33,21,193.6,2022-06-23,2022-07-25,2022,6
444,247,남원,2022-06-23,2022-07-25,33,19,197.5,2022-06-23,2022-07-25,2022,6
445,248,장수,2022-06-23,2022-07-25,33,22,271.8,2022-06-23,2022-07-25,2022,6
446,260,장흥,2022-06-23,2022-07-25,33,15,204.7,2022-06-23,2022-07-25,2022,6
447,261,해남,2022-06-23,2022-07-25,33,16,206.6,2022-06-23,2022-07-25,2022,6
448,262,고흥,2022-06-23,2022-07-25,33,12,224.2,2022-06-23,2022-07-25,2022,6
449,271,봉화,2022-06-23,2022-07-25,33,18,273.6,2022-06-23,2022-07-25,2022,6
450,272,영주,2022-06-23,2022-07-25,33,19,289.5,2022-06-23,2022-07-25,2022,6
451,273,문경,2022-06-23,2022-07-25,33,20,226.9,2022-06-23,2022-07-25,2022,6
452,277,영덕,2022-06-23,2022-07-25,33,11,129.2,2022-06-23,2022-07-25,2022,6
453,278,의성,2022-06-23,2022-07-25,33,12,132.3,2022-06-23,2022-07-25,2022,6
454,279,구미,2022-06-23,2022-07-25,33,13,163.5,2022-06-23,2022-07-25,2022,6
455,281,영천,2022-06-23,2022-07-25,33,13,171.3,2022-06-23,2022-07-25,2022,6
456,284,거창,2022-06-23,2022-07-25,33,16,145.9,2022-06-23,2022-07-25,2022,6
457,285,합천,2022-06-23,2022-07-25,33,16,142.4,2022-06-23,2022-07-25,2022,6
458,288,밀양,2022-06-23,2022-07-25,33,13,289.8,2022-06-23,2022-07-25,2022,6
459,289,산청,2022-06-23,2022-07-25,33,14,169.4,2022-06-23,2022-07-25,2022,6
460,294,거제,2022-06-23,2022-07-25,33,16,292.1,2022-06-23,2022-07-25,2022,6
461,295,남해,2022-06-23,2022-07-25,33,16,249.1,2022-06-23,2022-07-25,2022,6
