,Unnamed: 0,Territorial emissions in MtCOâ‚‚,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Year
1,1,1990.0,2.6032,5.4447,76.7376,0.4067,5.0899,0.051296,0.21984,112.0791,8.9623,0.48731,279.3648,62.1401,51.3804,2.0225,12.4058,14.0816,1.0701,103.7575,120.3079,0.31144,0.63064,0.50197,0.12824,5.7273,0.24675,19.3142,2.7004,218.658,0.065952,6.1885,76.6987,0.58258,0.20885,1.2604,2.6048,458.0074,0.095264,0,0.1832,0.37739,32.8913,2484.8548,56.8977,0.065952,1.0079,0.040304,2.913,4.7815,22.9777,29.6484,4.6244,4.6517,164.2027,4.249,53.5734,0.2748,0.058624,8.936,16.4578,75.2175,2.4751,0.062288,0,37.6498,2.9865,0.70349,0,0.80472,56.9684,392.9984,0.70966,0.43968,4.4847,0.19786,15.9453,1052.4768,3.7909,0,83.4256,0.62451,0.10626,1.3162,4.9722,1.0039,0.17221,1.1285,0.995,2.4167,27.1477,73.2255,2.2284,578.5182,150.2846,209.9437,49.057,32.9436,35.8244,439.5498,7.5272,1158.0074,10.4764,281.4611,5.6872,0.021984,0,37.807,19.369,0.51296,19.6614,7.8682,1.4729,0.46712,36.5138,0.19897,35.7677,11.8233,1.0332,0.92964,0.74023,54.2694,0.17221,0.42224,2.4085,0,1.6916,0.85371,1.4619,317.0424,0,36.6338,9.89,1.9153,0.029312,22.298,0.98874,4.2357,0,0.12458,0.72144,161.8069,1.5764,25.6493,2.0439,0.60178,38.8573,0.007328,122.4003,14.1844,35.098,0.86104,11.2224,67.8274,0,2.632,2.1544,2.1356,21.4008,41.3495,376.8078,45.3339,11.4112,0.43389,0,170.88,2525.518,0.52386,0.007328,0.10626,0.17954,0.0916,0.080608,0.087936,0.047632,208.497,3.1388,56.4482,0.15022,0.51662,43.5356,61.4754,15.083,0.14656,0.7309,312.9727,250.4691,231.1942,3.8308,4.7689,1.7374,0.95997,57.3783,44.1528,37.0453,124.066,12.084,2.1123,87.916,0,0.97764,0.076944,16.9812,13.1261,151.5085,31.3652,0.029312,0.010992,0.76085,705.83,51.7038,600.3439,5113.4547,3.9673,103.5158,0.065952,121.823,21.2986,0,0,9.5202,2.4071,15.5516,1990.0
2,2,1991.0,2.4274,4.2283,78.8068,0.4067,5.0641,0.051296,0.21251,117.5057,7.2883,0.53128,281.8715,65.7382,50.034,1.9969,11.8566,14.742,1.202,96.7804,123.3784,0.4067,0.73323,0.53861,0.17545,5.9724,0.1969,13.6333,2.6344,229.394,0.07328,5.3055,61.5173,0.62654,0.23816,1.3044,2.6684,449.6992,0.098928,0,0.19053,0.38472,30.9499,2606.0962,56.6541,0.065952,1.0828,0.040304,3.2879,4.3089,16.9862,27.1702,3.6902,5.1412,148.8924,3.1326,64.1887,0.28579,0.058624,9.5383,16.1572,77.2958,3.1547,0.065952,0,33.8233,2.9585,0.65586,0,0.66236,55.2304,417.1338,0.79978,0.43602,4.5217,0.19786,15.8695,1014.2245,4.2093,0,83.4011,0.6097,0.10992,1.3974,4.9511,1.0259,0.17587,1.1065,0.97614,2.4386,28.4631,69.6562,2.1061,615.9249,180.6211,226.0109,45.1854,33.6735,36.1485,439.094,7.751,1169.6919,9.9039,271.6948,4.709,0.021984,0,14.9164,16.0021,0.54594,17.9194,8.1152,1.5279,0.37088,42.6198,0.20633,37.85,12.4431,1.0919,1.0102,0.78591,65.7851,0.15389,0.42589,2.2554,0,1.5732,0.86837,1.5206,330.1332,0,29.631,12.121,1.355,0.029312,23.6882,0.94879,4.1374,1.0552,0.12458,1.0263,170.2273,1.7586,26.3328,1.9863,0.56879,41.9292,0.007328,117.2272,10.035,33.54,0.88302,11.5948,67.4771,0,3.1045,2.1691,2.1034,20.7579,43.4719,373.8279,47.1521,17.3805,0.40642,0,140.2038,2396.205,0.47214,0.007328,0.10626,0.18686,0.10259,0.084272,0.095264,0.047632,288.5455,3.3792,38.6159,0.17221,0.58258,44.2355,53.282,13.9621,0.15755,0.70759,326.0691,275.6565,240.9323,4.1382,4.4665,2.0231,0.87203,57.7529,46.1322,42.2008,133.586,9.7675,2.2553,96.7479,0,1.0498,0.095264,16.9682,15.3637,157.982,32.7169,0.029312,0.007328,0.77981,632.5366,56.6734,608.4306,5057.9309,4.5277,102.9207,0.065952,115.0522,21.3755,0,0,9.1274,2.3818,15.5015,1991.0
3,3,1992.0,1.3795,2.4952,79.8833,0.4067,5.1644,0.05496,0.20885,121.2306,5.8629,0.53861,286.3322,60.2365,56.1744,1.8686,10.8736,15.3799,0.97344,88.8588,122.5049,0.35541,0.78819,0.46166,0.20471,6.6207,0.16222,15.0287,2.7773,233.601,0.084272,5.2102,57.3652,0.63021,0.21618,1.3484,2.7123,463.521,0.10626,0,0.19419,0.4067,31.9783,2730.7876,61.4947,0.069616,1.2892,0.040304,3.7419,3.8435,16.3714,20.5931,3.0402,5.5159,144.6169,2.8082,58.3798,0.30045,0.058624,10.4182,21.9597,79.9399,3.3168,0.065952,0,24.3553,2.9367,0.64853,0,0.7411,54.2844,406.9794,0.80974,0.41403,4.9169,0.19786,15.2769,965.8933,3.6617,0,84.9827,0.5956,0.11725,1.4086,5.9192,1.0589,0.17954,1.0406,0.88852,2.6857,32.9186,62.0848,2.255,656.0331,203.5772,226.9349,58.8894,33.4945,42.0825,439.3152,7.7087,1179.3961,11.9842,247.2628,5.4024,0.025648,0,29.6484,11.0808,0.59273,14.1934,9.7269,1.5865,0.38799,37.0244,0.20695,21.2015,12.2097,1.0809,0.98086,0.78597,72.961,0.23083,0.46252,2.3149,0.076944,1.7333,0.90501,1.7074,332.7801,0.10259,20.9781,10.9939,1.4833,0.029312,24.7368,1.0382,4.8419,1.1505,0.12091,1.2329,170.0152,1.5755,28.2749,2.3726,0.52849,46.2653,0.007328,102.963,10.9847,34.468,0.916,11.8927,72.0149,0.19786,4.1123,2.1911,2.5799,20.9858,48.2928,364.7407,50.9817,26.7803,0.3634,0,130.235,1957.8861,0.47949,0.007328,0.10992,0.21251,0.095264,0.084272,0.098928,0.047632,316.1747,3.4227,42.818,0.17221,0.31877,47.4415,48.8754,13.8726,0.16122,0.68074,301.3674,300.0329,249.8314,5.1063,3.9893,2.0305,0.83173,57.4952,46.0088,42.5617,142.172,7.3081,2.1776,105.9635,0,1.0305,0.069616,19.1028,14.891,163.9222,31.9942,0.032976,0.007328,0.79779,589.0603,57.7571,592.8838,5167.4808,5.1429,110.9843,0.062288,105.5768,21.4665,0,0,9.8736,2.4247,16.7135,1992.0
4,4,1993.0,1.3331,2.3156,81.944,0.41037,5.7484,0.065952,0.21618,117.7775,2.575,0.64853,291.3247,60.6608,48.4061,1.7441,14.6086,16.0629,1.1005,76.555,121.4388,0.37739,0.95765,0.53861,0.1721,7.7917,0.25042,12.5806,3.195,244.306,0.087936,4.9647,58.4259,0.62654,0.22717,1.385,2.8658,463.9933,0.10992,0,0.19786,0.40304,33.9533,2921.651,63.3378,0.07328,1.1604,0.043968,3.8909,5.093,16.808,19.8228,4.6931,5.7593,138.6343,2.6623,60.6256,0.30045,0.062288,11.2088,24.0885,92.278,3.9756,0.069616,0,19.4037,2.9936,0.58258,0,0.74312,56.3482,387.6665,0.85949,0.42869,4.9747,0.20885,9.9157,956.1321,4.3095,0,84.2964,0.54571,0.12091,1.548,5.5778,1.0882,0.1832,1.0442,0.6842,2.8235,34.7778,63.3892,2.4113,677.9163,219.7622,235.6069,63.1298,33.7156,44.2345,431.6047,8.001,1172.3395,11.7743,219.5932,6.2147,0.029312,0,49.1294,8.5023,0.60742,11.9215,10.3549,1.6341,0.42463,38.7083,0.21503,16.3537,12.3547,1.1798,1.0065,0.87996,86.7186,0.19786,0.50281,2.8911,0.084272,1.863,0.92699,1.7734,338.0672,0.10259,15.8458,9.2626,1.2936,0.029312,26.7789,1.1916,5.303,1.3887,0.11358,1.3973,170.2061,1.8282,27.8627,2.2824,0.60184,44.8142,0.007328,94.8689,10.1236,36.008,0.93432,13.2248,77.1757,0.19786,3.7849,2.1911,2.9141,23.8848,48.9288,365.4417,49.4964,30.6845,0.25051,0,121.0182,1859.6794,0.48295,0.010992,0.11358,0.2345,0.07328,0.10259,0.10259,0.047632,340.6424,3.5387,37.6233,0.1832,0.32243,49.6619,46.3328,14.2337,0.17221,0.64042,320.3913,330.2717,241.209,4.9754,2.7463,2.0378,0.71082,57.5362,43.6009,45.2216,153.793,5.1706,2.426,120.911,0,1.0688,0.084272,17.4112,16.3526,171.0112,27.5164,0.040304,0.007328,0.79746,510.1995,65.5656,578.6353,5267.3431,4.4392,115.6172,0.062288,123.9663,22.853,0,0,8.6254,2.466,16.0466,1993.0
5,5,1994.0,1.2816,1.9126,86.1475,0.4067,3.8645,0.065952,0.21618,122.229,2.7133,0.65952,300.0843,61.0344,41.9439,1.7697,14.7545,17.538,0.7385,62.5051,124.8078,0.37373,1.0984,0.53128,0.20158,8.5938,0.24008,3.205,3.0301,254.002,0.098928,4.6899,56.4039,0.64486,0.2345,1.4253,2.8411,478.2671,0.11358,0,0.20885,0.4067,37.5167,3100.002,66.7906,0.07328,1.7686,0.043968,5.1998,4.133,16.0528,21.3823,4.4994,6.0006,132.3704,1.6982,64.6888,0.29312,0.065952,11.7964,13.5396,84.5558,4.5127,0.076944,0.74383,20.0364,2.1972,0.57525,0,0.73795,61.711,381.0259,0.76133,0.44334,4.3749,0.20885,6.0678,939.8146,5.0889,0,86.4422,0.49571,0.1429,1.6628,6.7512,1.1248,0.1832,1.4583,0.1832,3.1617,31.0793,61.7865,2.3647,716.9176,222.8551,263.8203,71.0892,34.8377,47.4746,425.7967,8.1886,1227.273,13.2496,185.6577,6.4219,0.029312,0,55.2258,6.1471,0.63426,10.37,11.1108,1.6744,0.42258,43.7525,0.20111,15.8011,11.5425,1.2714,1.2474,0.90327,90.631,0.19786,0.54839,2.6697,0.084272,1.9991,0.9563,1.6232,351.5282,0.10626,12.427,7.9271,1.2567,0.032976,28.1238,1.0796,6.1959,1.5719,0.10992,1.6194,170.7879,1.9712,28.0275,2.518,0.57975,34.9347,0.007328,86.7199,10.534,37.914,0.9673,15.0541,84.0183,0.19786,4.1773,2.1801,3.4043,23.7589,54.1225,360.5109,50.2765,30.3043,0.34448,0,119.1415,1641.6161,0.46212,0.010992,0.12091,0.26014,0.069616,0.12091,0.095264,0.047632,328.139,3.837,36.3265,0.20152,0.34808,60.0859,43.7316,14.6281,0.1832,0.62942,338.6249,355.8364,253.688,5.4352,3.785,2.0423,1.0772,59.9998,42.6758,46.1901,161.16,2.3551,2.0631,133.2994,0,1.0067,0.0916,17.0242,15.7772,167.4331,33.4431,0.043968,0.007328,0.70818,419.2663,72.6048,574.6408,5358.824,4.0304,107.98,0.062288,129.5312,26.1689,0,0,8.982,2.3933,17.3936,1994.0
6,6,1995.0,1.2305,2.0665,94.9814,0.42502,10.9489,0.065952,0.2235,127.7649,3.4332,0.70715,308.0226,64.0112,33.3093,1.8393,14.7865,21.0417,0.80664,57.508,125.9417,0.37739,1.1175,0.53128,0.23626,9.8,0.23758,3.402,3.0448,268.678,0.10992,4.7852,57.9503,0.62411,0.23816,1.4986,3.2037,490.9514,0.12091,0,0.20885,0.42136,41.0722,3357.9089,58.7754,0.076944,1.1859,0.043968,4.8008,6.1155,16.8164,22.8351,4.4526,5.8723,131.6005,2.1036,61.6022,0.31144,0.080608,15.107,22.6862,94.8904,4.9984,0.084272,0.82279,18.2129,2.506,0.57158,0,0.75502,58.14,385.9754,0.71147,0.43235,4.606,0.21618,2.2903,938.9684,5.1536,0,86.9791,0.53412,0.15022,1.7339,7.0786,1.1652,0.1832,1.5682,0.8757,3.7666,31.2671,61.3913,2.4671,762.1206,226.5426,271.582,74.0833,35.8522,49.8655,449.826,9.1734,1239.6198,13.2081,178.3811,7.4058,0.029312,0,54.5896,4.5116,0.6709,9.1338,12.2547,1.7074,0.4234,45.6899,0.2042,15.0916,9.1517,1.2311,1.2877,0.90668,113.9337,0.24915,0.5952,2.4603,0.087936,2.0213,1.0149,1.8283,331.5966,0.11358,11.4054,7.8994,1.3273,0.032976,28.7503,1.109,6.9073,1.6195,0.10626,2.3089,172.3004,2.0631,28.1488,2.7551,0.56192,33.4167,0.007328,81.2606,10.6366,38.522,0.94531,15.7191,83.6144,0.19786,3.653,2.0592,3.9371,24.6686,59.9504,362.8771,54.5434,31.2983,0.35608,0,124.2573,1613.1411,0.45476,0.010992,0.12824,0.2748,0.069616,0.12824,0.11358,0.047632,262.4211,3.4301,38.3739,0.19786,0.23083,40.5458,44.1741,15.3425,0.19053,0.5891,361.64,383.696,267.4583,5.8143,3.9029,2.0606,1.0626,59.4144,43.4127,41.2001,168.873,2.4453,2.4339,155.5169,0,1.1747,0.095264,16.4603,15.5469,180.903,33.9335,0.047632,0.010992,0.92548,389.8646,70.0123,566.568,5421.5025,4.5572,102.6637,0.065952,132.8762,28.6967,0,0,10.3521,2.1423,15.0284,1995.0
7,7,1996.0,1.1649,1.9932,96.7863,0.45434,10.424,0.069616,0.23816,134.7621,2.5954,0.72547,316.3322,67.3553,31.2423,1.8137,15.59,21.4928,0.82251,58.3766,129.48,0.30778,1.1508,0.52762,0.28367,10.0861,0.22224,4.2395,2.7553,289.311,0.11725,4.7413,58.5009,0.7047,0.24182,1.5169,3.5939,506.9996,0.1429,0,0.21251,0.43602,47.6111,3503.2337,59.7709,0.080608,1.3394,0.047632,4.6864,7.3353,17.344,23.333,4.1651,6.2224,134.9546,2.3111,74.8518,0.29312,0.07328,16.4844,24.0249,93.5687,4.4145,0.12824,0.89848,19.1345,2.7942,0.6009,0,0.81443,64.0565,402.4029,0.5864,0.43602,4.7542,0.21984,4.0538,959.1513,5.4686,0,89.132,0.59674,0.15389,1.8244,6.5711,1.2348,0.1832,1.6525,1.0186,3.8169,28.9085,63.0247,2.5226,825.9189,255.0675,273.7689,69.2832,37.4685,51.9358,444.0293,9.6876,1251.5309,13.8254,163.9407,9.1549,0.029312,0,49.9136,5.6642,0.74989,9.2115,12.7528,1.7367,0.43479,44.5144,0.20596,15.7734,9.2016,1.407,1.3406,0.90539,113.4419,0.28946,0.64608,2.5784,0.087936,2.0012,1.0626,1.9492,345.7661,0.11358,11.6871,8.0233,1.553,0.03664,29.5245,1.0918,7.2026,1.7221,0.10259,2.3528,181.4529,2.1839,29.3773,2.8472,0.642,36.7886,0.007328,71.6383,11.6845,41.594,1.0369,14.8838,93.539,0.19786,4.4468,2.1874,3.7188,24.2244,61.255,377.5634,51.8375,31.6684,0.36737,0,127.5717,1580.3757,0.46404,0.010992,0.1319,0.29312,0.069616,0.1319,0.12458,0.047632,258.2748,3.6641,44.8103,0.2345,0.30778,48.0129,44.0418,15.9871,0.19786,0.56792,363.6729,421.0945,254.8832,6.9706,4.0276,2.0825,0.78776,63.35,44.0987,42.3222,176.779,2.8238,2.5267,173.7287,0,1.2652,0.076944,20.768,16.5809,199.5219,30.6047,0.047632,0.007328,1.0181,351.4088,72.7749,588.1876,5610.5816,5.4052,105.546,0.084272,122.3384,34.2065,0,0,10.5263,1.838,14.9089,1996.0
8,8,1997.0,1.0841,1.5316,87.0047,0.46533,7.3477,0.069616,0.25648,137.6415,3.2692,0.75845,327.1096,67.2521,29.8022,1.6085,17.2889,23.1259,0.88824,58.9196,123.9835,0.38838,1.1947,0.52395,0.37542,11.256,0.23258,8.3658,2.7993,306.949,0.11725,4.9317,55.8561,0.80401,0.24915,1.4656,3.1574,521.2784,0.14656,0,0.21618,0.45067,55.4332,3510.1693,64.4965,0.084272,1.9207,0.047632,4.9162,7.0127,18.5572,24.809,4.3588,6.3102,130.725,1.8754,65.4512,0.32976,0.080608,17.2657,18.2064,107.5128,5.4157,0.30411,0.80847,18.6451,2.9802,0.5899,0,0.78281,62.7192,395.2453,0.54633,0.45434,4.7748,0.2235,4.4263,931.3242,6.2048,0,93.8209,0.61761,0.16854,1.8377,7.5019,1.2897,0.20152,1.8064,1.3484,3.9448,30.497,61.6235,2.6185,859.6862,280.7338,267.0457,68.0794,38.8043,54.8657,449.7541,10.0682,1244.7812,14.0741,155.5715,8.1195,0.029312,0,54.6707,5.5747,0.79241,8.6798,15.0987,1.7697,0.45352,45.5062,0.21837,15.1963,8.554,1.4876,1.6231,0.94718,122.0846,0.32976,0.72667,2.5862,0.087936,1.9731,1.0772,1.9969,368.6448,0.12091,7.3013,7.6884,1.6698,0.032976,29.9776,1.1702,7.4449,1.7697,0.10259,2.6411,174.494,1.8175,31.3262,3.1145,0.64606,41.0088,0.007328,65.1584,10.578,41.756,0.8647,15.2479,93.7882,0.19786,4.6301,2.5758,4.128,27.2852,70.0617,367.5083,54.7112,36.7893,0.44975,0,116.6669,1475.3602,0.48253,0.010992,0.1429,0.29312,0.047632,0.1319,0.12458,0.047632,215.8075,3.1824,48.3231,0.2748,0.2235,56.737,44.1715,16.5065,0.20518,0.53861,385.4595,445.1882,267.4201,7.5203,4.94,2.1045,1.1432,58.2512,43.0372,45.378,190.542,2.1501,2.8244,178.5939,0,0.87899,0.098928,20.5596,16.7472,212.0056,30.5565,0.05496,0.007328,1.0619,340.2427,73.1008,562.3332,5686.465,5.5137,106.6296,0.084272,133.4827,44.5169,0,0,11.3159,2.3541,13.912,1997.0
